,Job,Little Kluane
Academy,0.9759737588689765,0.9623397061617619
Aqqutikitsoq,0.9790360829125037,0.9546114806913484
Austfonna,0.8539431252005529,0.9619623692662294
Brewster,0.9012315368972419,0.9809327723855237
Columbia,0.9089189045105931,0.979292846257994
Devon,0.8617594580593805,0.966969983443911
Elbrus,0.9829334978996366,0.9619616274316417
Freya,0.9870067482849698,0.9494363898188911
Hellstugubreen,0.9773272156141074,0.9535349684378048
Kesselwandferner,0.9861611699523317,0.91505239617404
Mocho,0.9781448274842357,0.9704669689525813
NorthGlacier,0.9374176048197405,0.9879763804219029
SouthGlacier,0.9818321414444885,0.9619940016820151
Starbuck,0.9121596004197697,0.9805013549100712
Synthetic1,0.9748498867932585,0.8997096641229592
Synthetic2,0.9870100400315077,0.9381700454385502
Synthetic3,0.9667877891881069,0.8862655597450058
Tasman,0.9009201289487972,0.9857114459335377
Unteraar,0.8833338440405262,0.9799906767275013
Urumqi,0.9120387396850894,0.9873080334361021
Washmawapta,0.9627532443731635,0.9793711217750114
