;Job;;;Little Kluane
Synthetic2;0,98701004;;NorthGlacier;0,98797638
Freya;0,987006748;;Urumqi;0,987308033
Kesselwandferner;0,98616117;;Tasman;0,985711446
Elbrus;0,982933498;;Brewster;0,980932772
SouthGlacier;0,981832141;;Starbuck;0,980501355
Aqqutikitsoq;0,979036083;;Unteraar;0,979990677
Mocho;0,978144827;;Washmawapta;0,979371122
Hellstugubreen;0,977327216;;Columbia;0,979292846
Academy;0,975973759;;Mocho;0,970466969
Synthetic1;0,974849887;;Devon;0,966969983
Synthetic3;0,966787789;;Academy;0,962339706
Washmawapta;0,962753244;;SouthGlacier;0,961994002
NorthGlacier;0,937417605;;Austfonna;0,961962369
Starbuck;0,9121596;;Elbrus;0,961961627
Urumqi;0,91203874;;Aqqutikitsoq;0,954611481
Columbia;0,908918905;;Hellstugubreen;0,953534968
Brewster;0,901231537;;Freya;0,94943639
Tasman;0,900920129;;Synthetic2;0,938170045
Unteraar;0,883333844;;Kesselwandferner;0,915052396
Devon;0,861759458;;Synthetic1;0,899709664
Austfonna;0,853943125;;Synthetic3;0,88626556
